Stock,Bottom Date,Entry Date,Entry Price,Exit Date,Exit Price,Status,Return %,Chart,Entry Date Sort
APLAPOLLO.NS,2024-05-31,2024-06-03,1562.0,2024-06-10,1640.1,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:APLAPOLLO,2024-06-03
AIAENG.NS,2024-05-03,2024-05-06,3715.0,2024-06-14,3900.75,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:AIAENG,2024-05-06
AIAENG.NS,2025-01-01,2025-01-02,3375.6,2025-01-20,3544.38,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:AIAENG,2025-01-02
AIAENG.NS,2025-02-12,2025-02-13,3570.0,2025-11-17,3748.5,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:AIAENG,2025-02-13
ATGL.NS,2025-06-20,2025-06-23,614.55,2025-06-26,645.28,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:ATGL,2025-06-23
AJANTPHARM.NS,2024-07-05,2024-07-08,2235.8,2024-07-23,2347.59,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:AJANTPHARM,2024-07-08
APOLLOTYRE.NS,2024-05-15,2024-05-16,484.9,2024-05-22,509.14,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:APOLLOTYRE,2024-05-16
AUROPHARMA.NS,2025-02-19,2025-02-20,1125.0,2025-03-21,1181.25,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:AUROPHARMA,2025-02-20
MAHABANK.NS,2025-12-03,2025-12-04,56.44,2025-12-30,59.26,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:MAHABANK,2025-12-04
BERGEPAINT.NS,2025-06-20,2025-06-23,528.4,2025-06-24,554.82,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:BERGEPAINT,2025-06-23
BERGEPAINT.NS,2025-12-30,2025-12-31,528.2,-,-,Active,-13.65,https://www.tradingview.com/chart/?symbol=NSE:BERGEPAINT,2025-12-31
BHEL.NS,2026-02-11,2026-02-12,259.0,-,-,Active,2.3,https://www.tradingview.com/chart/?symbol=NSE:BHEL,2026-02-12
CUMMINSIND.NS,2024-10-11,2024-10-14,3614.15,2024-10-16,3794.86,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:CUMMINSIND,2024-10-14
CUMMINSIND.NS,2025-05-06,2025-05-07,2760.0,2025-05-13,2898.0,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:CUMMINSIND,2025-05-07
COLPAL.NS,2025-10-24,2025-10-27,2241.0,-,-,Active,0.6,https://www.tradingview.com/chart/?symbol=NSE:COLPAL,2025-10-27
DEEPAKNTR.NS,2024-11-14,2024-11-18,2634.0,2024-12-02,2765.7,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:DEEPAKNTR,2024-11-18
ENDURANCE.NS,2025-01-16,2025-01-17,2089.0,2025-05-14,2193.45,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:ENDURANCE,2025-01-17
GMRAIRPORT.NS,2025-06-20,2025-06-23,80.88,2025-06-26,84.92,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:GMRAIRPORT,2025-06-23
FACT.NS,2026-01-28,2026-01-29,810.0,-,-,Active,-8.22,https://www.tradingview.com/chart/?symbol=NSE:FACT,2026-01-29
MEDANTA.NS,2025-06-20,2025-06-23,1097.9,2025-06-24,1152.8,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:MEDANTA,2025-06-23
GLAXO.NS,2025-02-05,2025-02-06,2000.0,2025-02-11,2100.0,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:GLAXO,2025-02-06
GLAXO.NS,2025-12-30,2025-12-31,2419.4,-,-,Active,6.29,https://www.tradingview.com/chart/?symbol=NSE:GLAXO,2025-12-31
GLENMARK.NS,2024-12-13,2024-12-16,1515.1,2024-12-27,1590.85,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:GLENMARK,2024-12-16
GLENMARK.NS,2025-02-17,2025-02-18,1365.0,2025-03-17,1433.25,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:GLENMARK,2025-02-18
HEXT.NS,2025-04-23,2025-04-24,670.95,2025-04-25,704.5,WIN,5.0,https://www.tradingview.com/chart/?symbol=NSE:HEXT,2025-04-24
